词语 情感分类 强度
得寸进尺 nn 5
尔虞我诈 nn 7
空洞 nn 3
婆婆妈妈 nn 3
滥竽充数 nn 7
猎取 nn 1
蛮横 nn 5
擅自 nn 1
拈轻怕重 nn 3
漠然 nn 3
怨尤 nn 5
暴烈 nn 5
偏见 nn 3
招摇 nn 7
千篇一律 ne 5
骄矜 nn 7
求全责备 nn 3
势利 nn 7
挑剔 nn 5
偷懒 nn 3
畏葸不前 nn 5
无稽之谈 nn 7
无中生有 nn 5
犯疑心病 nn 1
叶公好龙 nn 7
变节 nn 5
灭绝人性 nn 9
奸险 nn 9
猥劣 nn 7
奸诈 nn 9
诡诈 nn 7
浇薄 nn 7
虚骄 nn 7
不自量力 nn 5
老气横秋 nn 5
狂气 nn 5
刚愎 nn 5
小心眼 nn 7
陋习 nn 9
阳奉阴违 nn 5
随风倒 nn 5
自私自利 nn 7
鄙俗 nn 5
蛮不讲理 nn 7
轻率 nn 5
愚鲁 nn 7
摇头摆尾 nn 3
蠢笨 nn 7
愚顽 nn 5
儇薄 nn 5
水性杨花 nn 7
贪嘴 nn 3
愚直 nn 5
怪诞 nn 3
浮皮潦草 nn 5
毛手毛脚 nn 5
食言 nn 5
鬼祟 nn 7
出圈儿 nn 5
奴颜媚骨 nn 7
欺哄 nn 3
耍滑 nn 3
耍赖 nn 5
恣意妄为 nn 7
闲散 nn 1
兔死狗烹 nn 7
蛮勇 nn 3
自恋 nn 3
有勇无谋 nn 5
不识人间有羞耻事 nn 7
辱门败户 nn 7
慢腾腾 nn 3
人心似铁 nn 7
盲用 nn 1
慢慢吞吞 nn 3
孤行己见 nn 5
强横霸道 nn 7
萧规曹随 nn 5
左右袒 nn 3
干巴 nn 3
化公为私 nn 7
权欲熏心 nn 7
猥鄙 nn 9
膏粱子弟 nn 7
淫秽 nn 7
艳情 nn 5
口角 nn 3
冷酷无情 nn 5
有理无情 nn 5
耍滑头 nn 1
身单力薄 nn 3
错误百出 nn 5
生吞活剥 nn 5
臭名昭著 nd 7
发酸 nn 3
言之无物 nn 3
傲物 nn 5
摆款儿 nn 1
板荡 nn 7
暴政 nn 5
兵痞 nn 7
财迷 nn 3
向着 pb 5
桑梓之念 pf 5
惊吓 nc 5
心血来潮 nn 3
享乐 nn 3
惊诧 pc 7
怪讶 pc 5
平定 pe 3
精湛 ph 5
冰心 ph 5
并力 pg 3
博雅 ph 5
才赋 ph 5
才学 ph 5
苍郁 pb 3
长技 ph 5
草寇 nd 5
插足 nn 3
谗佞 nd 7
伥鬼 nn 7
吵人 nd 5
尘嚣 ne 3
称霸 nn 5
超卓 ph 7
沉挚 ph 5
成名 ph 5
吃心 nn 3
齿冷 nn 5
忡忡 ni 5
丑事 nn 5
承教 pd 5
骋目 pa 3
崇信 pd 7
出蓝 ph 5
创举 ph 5
憷头 nc 3
春山 ph 3
纯稚 ph 5
吹擂 nn 5
蠢话 nn 5
刺儿话 nn 3
窜犯 nd 5
篡位 nn 7
错会 nn 3
呆子 nn 3
刀俎 nd 5
盗匪 nd 5
盗用 nn 5
桂冠 pa 7
国光 ph 5
国威 pd 1
酣眠 pa 3
敌特 nd 5
颠沛 nb 3
丢份 nd 3
毒贩 nn 5
赌棍 nd 5
断代 nj 3
恶疾 nd 5
恶性 nn 5
贰臣 nn 3
法盲 nn 5
反侧 nn 3
饭桶 nn 7
放刁 nd 5
非人 nn 9
匪祸 nd 5
分赃 nn 5
奉迎 nd 3
浮夸 nn 3
负隅 nd 3
官僚 nd 5
惯贼 nn 5
淳古 ph 5
慈怜 ph 5
葱郁 pb 3
翠蓝 pb 1
存问 pb 1
打躬 pd 3
大观 ph 5
大士 ph 5
大雅 ph 5
黛紫 pb 1
当先 ph 3
鬼子 nd 7
得救 pe 3
得中 pb 3
砥柱 ph 7
叮咛 nc 1
国耻 nd 9
过头 nn 3
黑金 nd 3
后门 nn 1
虎口 nc 1
幻灭 nj 5
谎话 nn 3
毁约 nn 1
秽行 nd 5
混账 nd 5
挤占 nn 3
假手 nn 3
进犯 nn 3
拘牵 nn 1
懒怠 nn 7
空论 nn 3
懂行 ph 5
洞究 ph 1
宽纵 nn 1
独步 ph 5
笃学 ph 5
端平 ph 5
墩劝 pd 3
夺魁 pa 5
发奋 ph 5
发展 ph 3
繁盛 ph 5
芳烈 ph 5
放达 ph 1
飞灵 ph 3
肥壮 ph 3
丰饶 ph 5
富源 pb 1
改过 ph 3
