词语 情感分类 强度
自我作故 ph 3
顺流而下 pe 3
匪夷所思 pc 3
梦幻泡影 nj 5
昂首阔步 ph 5
奋发有为 ph 5
绠短汲深 nj 3
千难万难 nj 1
度日如年 ne 7
因人制宜 ph 5
进退无门 ne 3
大吹大擂 nn 3
人为刀俎，我为鱼肉 ne 5
望门投止 ne 1
自身难保 nj 3
洞鉴古今 ph 9
权衡轻重 ph 3
迥然不同 ph 5
泰山鸿毛 nn 1
云泥殊路 nj 5
以类相从 ph 3
以石投水 pa 3
金科玉律 ph 5
暗礁险滩 nc 7
相去无几 ph 3
打退堂鼓 nn 3
放虎归山 nn 5
百无一是 nn 7
合浦珠还 ph 5
画地为牢 ne 5
夏雨雨人 ph 5
左辅右粥 ph 5
工力悉敌 ph 5
棋高一着 ph 5
精耕细作 ph 5
有案可稽 pg 3
死无对证 nn 3
蔚成风气 ph 5
面目一新 ph 5
移风易俗 ph 5
安危相易 nc 1
燕雀安知鸿鹄之志 nn 3
独木不成林 nj 1
一木难支 nj 1
八面见光 nn 3
油嘴狗舌 nd 7
诡衔窃辔 nn 1
天马行空 ph 3
白玉无瑕 ph 7
安之若命 nn 3
忍垢偷生 nn 3
麟凤龟龙 ph 7
无奇不有 pc 5
百龄眉寿 pa 7
执而不化 nn 7
门户之见 nn 3
小时了了，大未必佳 nl 3
七颠八倒 nn 3
赏不当功 nn 5
嚎啕大哭 nb 9
涕泪交集 nb 7
饮泣吞声 nb 7
同牢之礼 ph 3
竹苞松茂 ph 3
荆室蓬户 nn 3
避世绝俗 pe 3
羲皇上人 pa 5
飞来横祸 nc 3
流落天涯 nb 3
铜筋铁骨 ph 5
望秋先零 nn 3
百身何赎 nb 7
晨鸡暮钟 pe 1
孤鸾寡鹤 nb 5
继往开来 ph 5
子继父业 pe 5
德厚流光 ph 7
名扬四海 ph 9
咳唾成珠 ph 7
至理名言 ph 7
口若悬河 ph 5
持盈守虚 ph 1
鬼话连篇 nn 5
眼明心亮 ph 3
郑重其辞 ph 3
哗众取宠 nn 7
顾前不顾后 nn 3
听而不闻 nn 5
强聒不舍 nn 3
窃窃私议 nn 3
照本宣科 nn 5
忧深思远 ph 3
可见一斑 ph 3
引而深知 ph 3
依稀犹记 ph 1
心领神会 pg 3
今是昨非 nn 3
度德量力 ph 3
清夜扪心 nh 3
不得要领 nn 3
醉生梦死 nn 7
游戏人间 nn 3
狐假虎威 nn 5
挟权倚势 nn 5
倚势挟权 nn 5
好吃懒做 nn 5
上行下效 nn 3
悬羊头，卖狗肉 nn 7
家破人亡 nb 9
天坍地陷 nc 7
绰绰有裕 pa 5
荜门闺窦 nb 1
啜菽饮水 nb 1
分文不名 nb 1
糠豆不赡 nb 3
牵萝补屋 nb 3
阮囊羞涩 nb 3
曳裾王门 nd 5
四壁萧然 nb 5
腹诽心谤 nd 5
造谣惑众 nd 3
搬唇递舌 nd 5
调嘴弄舌 nd 5
开源节流 ph 3
声色狗马 nn 7
囤积居奇 nn 5
寸草不留 nn 7
杀人放火 nn 7
殚财竭力 ph 5
轻徭薄税 ph 7
公私两利 ph 3
百炼之钢 ph 7
逆来顺受 nn 5
盛食厉兵 ph 5
枕戈汗马 ph 5
兵荒马乱 nn 5
烽鼓不息 ne 5
徘徊歧路 nn 3
伏低做小 nn 3
唯唯否否 nn 3
明知故问 nn 3
买菜求益 nn 3
室人交谪 nn 5
溜之乎也 nn 3
闻风远扬 nn 3
半痴不癫 nn 3
大模大样 nn 3
遇事生风 nd 3
以眼还眼，以牙还牙 nd 7
远水不解近渴 ne 5
时不待我 ni 5
一触即发 ni 5
不即不离 ph 3
本末倒置 nn 7
买椟还珠 nn 5
方底圆盖 nn 3
相持不下 ne 3
贻害无穷 nn 7
丑态毕露 nd 9
水落石出 pe 7
于今为烈 nn 5
多事之秋 ne 7
牵丝攀藤 nn 3
萧墙之危 nn 7
东拼西凑 nn 3
借题发挥 nn 5
凌上虐下 nn 7
以强凌弱 nn 7
出口伤人 nn 5
作威作福 nn 7
曲突徙薪 ph 5
对牛弹琴 nn 3
铜臭满身 nd 5
封官许愿 nn 5
朋党比周 nn 7
放浪形骸 nn 5
野马无缰 nn 3
冶容诲淫 nn 5
饱以老拳 nd 5
一哄而散 nn 3
飞蛾赴火 nn 3
询谋佥同 ph 5
越俎代庖 nn 7
全力以赴 ph 5
聊以塞责 nn 5
高阳酒徒 nn 5
春和景明 pb 5
回黄转绿 nb 3
流金烁石 ne 5
切骨之寒 nc 7
水碧山绿 pb 5
繁华胜地 ph 5
无边风月 pb 9
一以贯之 ph 5
一曝十寒 nn 5
杜口结舌 nn 5
雄心豹胆 nn 5
官样文章 nd 5
计出万全 ph 3
压良为贱 nd 5
胜任愉快 pa 3
有胆有识 ph 7
才过屈宋 ph 9
风流人物 ph 9
绝伦逸群 ph 9
梦笔生花 ph 7
琴心剑胆 ph 7
铁中铮铮 ph 7
庸中佼佼 ph 5
才贯二酉 ph 7
高识远见 ph 7
口耳之学 nn 3
有眼如盲 nn 5
重生父母 ph 9
加官进爵 pa 3
一日九迁 pa 7
后来居上 ph 5
一代风流 ph 7
门外汉 nn 3
南箕北斗 nn 9
蜗角虚名 nn 5
墨突不黔 nn 3
立竿见影 ph 3
功成事立 pa 5
生死与共 ph 5
金钗十二 pb 1
异军突起 pc 5
不羁之才 ph 5
甘贫守志 ph 5
百不失一 pg 9
心中有数 pg 5
千万买邻 ph 5
有过之无不及 ph 5
一举千里 ph 9
盛极一时 ph 7
左右采获 ph 5
涓滴之劳 ph 3
旰食宵衣 ph 7
拳不离手，曲不离口 ph 7
朝乾夕惕 ph 9
尝鼎一脔 ph 3
询于刍荛 ph 5
如响斯应 ph 3
出人头地 ph 3
斗南一人 ph 9
桂林一枝 ph 5
人急智生 ph 1
文思敏捷 ph 5
不时之需 ph 1
有条有理 ph 5
龙行虎步 ph 5
瑶林琼树 ph 7
改容更貌 ph 1
双瞳剪水 ph 3
粉装玉琢 ph 3
云鬟雾鬓 ph 3
一饭千金 ph 5
开心见诚 ph 3
上交不谄 ph 3
正直无私 ph 5
金石为开 ph 5
大有可为 ph 7
待价而沽 ph 3
鼎新革故 ph 3
弃旧图新 ph 3
功德圆满 ph 9
宽人大度 ph 5
温柔敦厚 ph 3
生寄死归 ph 5
百发百中 ph 5
添兵减灶 ph 1
知己知彼 ph 5
攻无不克，战无不胜 ph 7
前歌后舞 ph 5
威震天下 ph 5
指日可下 pg 3
敏而好学 ph 3
火眼金睛 ph 5
映月读书 ph 3
肺腑之言 ph 5
伐毛洗髓 ph 5
脱胎换骨 ph 7
如鸟兽散 ni 5
阿谀谄媚 nd 5
妒贤嫉能 nd 5
消损白日 ne 5
内外夹攻 ni 3
当面错过 nj 5
相形失色 ng 3
马后炮 nn 5
寡不敌众 nj 5
师老兵疲 nj 3
不文不武 nn 5
无作不为 nn 3
冢中枯骨 nn 5
酒囊饭袋 nn 5
魑魅魍魉 nd 7
始作俑者 nn 9
江洋大盗 nn 7
弥天大罪 nn 9
北辕适楚 nn 3
救经引足 nn 5
揠苗助长 nn 5
拾人牙慧 nn 5
痴人说梦 nn 5
管窥蠡测 nn 5
谄词令色 nn 5
罪恶如山 nn 9
十羊九牧 nn 5
器小易盈 nn 3
误入歧途 nn 5
吠形吠声 nn 3
矜功伐能 nn 7
吐丝自缚 nn 7
自取其祸 nn 7
作法自毙 nn 7
鬼使神差 pc 3
影只形孤 nb 3
缠绵悱恻 ne 5
筚路蓝缕 ph 3
凶终隙末 nj 5
已意逆志 nn 3
乱点鸳鸯 nn 3
酒肉朋友 nn 3
日无暇晷 ph 3
杀鸡取卵 nn 5
不求甚解 nn 3
别风淮雨 nn 5
急就章 nn 1
友于兄弟 ph 1
车笠之盟 pb 1
取友必端 pb 1
相见恨晚 pb 1
至亲骨肉 pb 1
千载一时 pc 5
单复之术 pc 1
怀金垂紫 pd 1
焕然冰释 pe 5
兴文偃武 pe 3
远亲不如近邻 ph 3
弄粉调脂 nn 1
白发苍苍 pd 1
诚意正心 ph 3
如埙如篪 ph 3
一床两好 ph 3
每下愈况 pg 1
顺藤摸瓜 ph 1
奔走相告 pg 1
一日万几 ne 1
无所不有 ph 1
远走高飞 ph 1
欲擒故纵 ph 1
万里长城 ph 1
钩玄提要 ph 1
开卷有益 ph 1
不能赞一词 ph 3
海立云垂 ph 1
一片丹心 ph 5
强不知以为知 nn 7
初生之犊不怕虎 ph 7
兼人之勇 ph 7
勇猛果敢 ph 7
肝脑涂地 ph 5
之死靡它 ph 9
晨昏定省 ph 5
以终天年 ph 5
敬老尊贤 pd 7
师道尊严 pd 7
不吝金玉 ph 5
移樽就教 pd 3
自以为得计 nn 3
不胜其任 nn 1
功成不居 ph 5
胜不骄，败不馁 ph 5
傲睨自若 nn 5
孤高自诩 nn 5
眄视指使 nn 5
名利双收 ph 5
争名夺利 nn 5
狼贪鼠窃 nn 7
贪戾无厌 nn 7
沽激虚名 nn 5
暴笑 pa 7
傻比 nn 7
SJB nn 5
人渣 nn 9
鸟样 nn 5
傻叉 nn 3
真牛 ph 7
害群之马 nn 7
荒诞 nn 5
嫁祸于人 nn 5
大放厥词 nn 5
腐蚀 nn 1
扣帽子 nn 3
拉关系 nn 1
懒汉 nn 7
冷酷 nn 3
摇头晃脑 nn 3
冒失 nn 3
牟取 nn 3
懦夫 nn 5
忍无可忍 nd 7
凶狂 nn 3
庞杂 nn 1
尖酸 nn 7
歧视 nn 5
强词夺理 nn 5
嗔怪 nn 7
轻浮 nn 7
撒野 nn 3
煽风点火 nn 5
盛气凌人 nn 5
袒护 nn 3
挑刺儿 nn 5
忽视 nn 1
玩火自焚 nn 3
无所不为 nn 5
习气 nn 1
瞎话 nn 3
依赖 nn 1
预谋 nn 1
置若罔闻 nn 3
酷虐 nn 7
阴毒 nn 9
贼心 nn 7
下作 nn 7
刁滑 nn 5
包藏祸心 nn 5
不道德 nn 7
孱头 nn 3
傲岸 nn 5
不可一世 nn 7
颐指气使 nn 5
拘囿 nn 1
师心自用 nn 3
孤僻 nn 1
做假 nn 3
油腔滑调 nn 5
偏心 nn 3
私念 nn 3
版版六十四 nn 3
伧俗 nn 5
好大喜功 nn 7
摆门面 nn 5
孟浪 nn 5
愚蒙 nn 7
呆傻 nn 7
疏懒 nn 5
怪僻 nn 1
粗陋 nn 7
主观 nn 1
崇洋 nn 3
不拘小节 nn 1
视若无睹 nn 1
优柔寡断 nn 5
自食其言 nn 5
悖逆 nn 5
买好 nn 3
欺瞒 nn 3
打马虎眼 nn 3
搞鬼 nn 3
胡来 nn 5
做作 nn 5
自作主张 nn 3
麻木 nn 3
反目无情 nn 7
偏执 nn 5
作态 nn 5
漫不经心 nn 1
迟缓 nn 1
癞蛤蟆想吃天鹅肉 nn 7
不闻不问 nn 1
见死不救 nn 7
等闲视之 nn 3
迟滞 nn 1
慢慢悠悠 nn 1
擅权 nn 5
独断专行 nn 7
因循守旧 nn 5
安于 nn 3
厚古薄今 nn 5
取笑 nn 5
过时 nn 1
见利忘义 nn 7
贪得无厌 nn 7
贪求 nn 7
世俗 nn 5
吝啬鬼 nn 5
顽固派 nn 5
伤风败俗 nn 7
厥词 nn 3
吵架 nn 3
卸磨杀驴 nn 5
惑人耳目 nn 3
阿谀逢迎 nn 5
一无是处 nn 9
理屈 nn 3
不起眼 nn 3
一面之词 nn 1
凑和 nn 1
岂有此理 nn 5
丧权辱国 nd 9
不过如此 nn 3
假冒伪劣 nn 3
伪劣 nn 3
形同虚设 nn 1
荒诞不经 nn 5
离谱儿 nn 3
阿斗 nn 7
暗笑 nn 3
白丁 nn 1
败絮 nn 7
暴君 nn 7
笨伯 nn 3
弊政 nn 9
不轨 nn 3
残损 nn 3
令人咋舌 pc 9
一日三秋 pf 5
德高望重 ph 7
新来乍到 ng 1
倒彩 nn 5
霸王 nn 1
诧异 pc 5
惊疑 pc 5
和尚不吃豆腐－怪哉 pc 5
锦绣 ph 7
毕生 ph 3
宾礼 pd 3
秉承 ph 3
博大 ph 5
不吝 ph 3
才情 ph 5
昌明 ph 5
长足 ph 5
蹭蹬 ne 5
畅怀 pa 7
馋嘴 nn 1
吵吵 nd 3
扯谎 nn 3
沉滞 nn 3
逞性 nn 7
畅行 ph 3
超伦 ph 5
彻亮 ph 3
称美 ph 5
诚服 ph 5
痴话 nn 1
仇外 nd 7
赤贫 nd 3
丑化 nn 3
臭名 nn 3
呈献 pd 5
充裕 ph 3
重圆 pa 5
矗立 ph 3
出轨 nn 3
创议 ph 1
垂手 pb 5
纯良 ph 5
串骗 nd 5
垂涎 nn 5
疵点 nn 3
粗拉 nn 1
篡夺 nd 5
蹉跌 nn 3
打蔫儿 nn 1
噩梦 nc 5
倒爷 nn 3
盗卖 nn 5
得用 nn 5
国宝 pb 3
国是 pd 1
过细 ph 1
酣睡 pa 1
敌寇 nd 5
抵赖 nd 3
凋败 nb 3
跌跤 nd 3
斗殴 nn 7
毒品 nd 5
渎职 nn 5
短处 nn 3
多嘴 nn 3
讹误 nn 3
恶气 nn 1
噩运 nd 3
烦言 ne 1
反咬 nd 5
犯禁 nn 5
非刑 nn 7
浮报 nn 3
腐恶 nd 7
附庸 nn 3
告密 nn 5
苟合 nd 5
孤行 nn 3
怪圈 nl 3
惯犯 nd 7
诡诞 nn 3
辞别 nb 1
崔嵬 ph 3
脆嫩 ph 3
达人 ph 5
大军 ph 1
大喜 pa 7
带头 ph 1
担当 ph 1
鬼魅 nn 3
道喜 pa 1
得时 pa 3
低柔 ph 3
第一线 ph 3
典要 ph 5
鼎鼎 ph 3
过失 nn 3
害处 nn 1
黑帮 nd 5
黑市 nn 1
哄抢 nn 1
胡乱 nn 3
花招 nn 1
惶遽 ni 7
毁坏 nn 3
秽迹 nd 5
混噩 nn 5
祸乱 nn 1
家丑 ng 3
嚼舌 nn 3
桀纣 nn 7
卷逃 nn 5
赖学 nn 1
苛杂 nd 1
空乏 nn 3
枯涩 nn 3
洞彻 ph 1
夸诞 nn 3
斗士 ph 5
旷费 nn 5
笃论 ph 5
肚才 ph 5
敦睦 pb 3
婀娜 ph 5
恩荣 ph 3
范本 ph 5
芳容 pb 5
放眼 pa 1
丰茂 ph 5
丰盛 ph 5
风范 ph 3
福音 pa 5
富实 pa 3
赅博 ph 5
甘脆 pb 3
甘于 ph 1
干才 ph 5
高参 ph 3
高歌 pa 3
滥调 nn 3
涝害 ne 3
冷风 nn 1
理亏 nn 5
劣势 ne 3
留难 nn 5
高手 ph 9
陋规 nn 3
露骨 nn 3
乱杂 nn 1
落空 nj 1
马贼 nn 5
蛮荒 nn 1
冒功 nn 5
媚骨 nn 5
迷信 nn 3
蔑称 nn 3
搞活 ph 1
梗直 ph 3
攻关 ph 1
功臣 ph 7
恭正 pd 3
躬逢 pd 9
够格 pg 5
骨力 ph 5
墨吏 nn 5
谋反 nn 5
幕后 nn 5
广袤 ph 3
广为 ph 3
圭谬 ph 7
内难 nn 5
逆子 nb 7
佞幸 nd 7
女流 nn 3
怕事 nn 3
叛离 nn 7
泡汤 nj 5
赔本 ne 5
纰漏 nn 3
疲软 nn 3
骗取 nn 5
破陋 nn 3
乞食 ne 5
牵强 nn 3
浅尝 nn 3
强加 nn 3
强求 nn 5
呵护 pb 3
合口 ph 3
和平鸽 pa 1
贺礼 ph 3
鸿博 ph 7
红领巾 ph 1
洪福 ph 7
宏富 ph 5
厚待 pb 3
后福 pa 3
互通 pa 1
华章 ph 7
辉映 ph 5
慧眼 ph 9
浑古 ph 5
激流 ph 1
击赏 ph 9
机遇 pa 1
吉祥物 pb 1
窃贼 nn 5
轻贱 nn 3
屈枉 nn 5
权臣 nn 7
裙带 nn 5
失策 nn 3
失利 ne 5
失宜 nn 3
事端 nn 7
受罚 ne 5
受气 ne 5
鼠窜 nd 3
说教 nn 3
私枭 nd 5
宿弊 nn 5
锁链 ne 5
逃学 nn 5
调唆 nn 7
偷税 nn 5
屠夫 nd 5
颓势 nn 3
瓦解 nn 5
外侮 nd 5
妄动 nn 5
妄语 nn 5
诬枉 nn 7
稀碎 nn 3
黠棍 nn 7
下三烂 nn 7
险僻 nc 5
邪财 nn 5
腥臭 nn 3
凶虐 nn 3
凶相 nc 5
朽坏 nn 3
虚名 nn 5
虚掷 nn 5
玄乎 nn 3
训斥 nn 5
烟幕 nn 5
厌腻 nd 5
妖妄 nn 5
野人 nn 3
胰见 nn 5
阴黑 nn 3
阴云 nn 5
淫书 nn 5
拥挤 nn 3
迂见 nn 5
迂拙 nn 5
渔利 ph 5
冤大头 nn 3
切当 ph 5
冤抑 ne 7
怨怪 nn 7
亲聆 pd 3
勤苦 ph 5
清碧 ph 3
殒越 nn 5
日暮途穷 nj 9
画蛇添足 nn 3
够味儿 ph 5
翩翩 ph 5
臃肿 nn 3
温和 ph 3
鸡零狗碎 nn 7
细致 ph 5
卓绝 ph 7
戏弄 nd 7
应有尽有 pa 5
虚弱 nn 1
凄凉 nb 7
萎靡不振 nn 5
看不上眼 nd 3
幸运 pa 7
独辟蹊径 ph 7
愚昧无知 nn 9
淡雅 ph 5
磨难 nb 7
口碑载道 ph 9
气势磅礴 ph 9
南辕北辙 nn 5
谅解 pa 1
困苦 nb 3
朴实 ph 5
点缀 pb 1
稳如泰山 ph 7
宽广 ph 3
衰落 nb 5
横行无忌 nn 9
滑头 nn 5
挽救 ph 1
远大 ph 5
蝇营狗苟 nn 9
风流云散 nb 3
勤谨 ph 5
乐意 pa 3
深切 pf 7
知心人 pg 7
沽名钓誉 nn 7
活络 ph 3
古道热肠 ph 7
盲目 nn 5
遮盖 nn 3
纠缠 nd 5
噤若寒蝉 nc 9
失误 nh 7
文不对题 nn 5
称心如意 pa 3
尖子 ph 7
草木皆兵 ni 9
忍受 ne 9
臭名远扬 nn 9
糟蹋 nn 7
孤高 ph 3
不足道 nn 1
卑劣 nn 9
鸣金收兵 pe 1
生硬 nn 3
作对 nn 3
污点 nn 5
喜好 pb 5
交口称誉 ph 9
铺张 nn 5
智慧 ph 7
干巴巴 nn 3
闭关自守 nn 5
挺立 ph 3
气象万千 ph 7
上流 ph 3
殷切 pk 5
假充 nn 3
平淡无奇 nn 3
背运 ne 7
敝帚自珍 pb 3
忧愁 ne 9
作假 nn 3
毛糙 nn 3
衰朽 nn 5
抱恨终天 nb 9
正义 ph 5
丧气 ne 9
清亮 ph 3
深邃 ph 5
呼之欲出 ph 7
不当 nn 3
齐整 ph 3
乘风破浪 ph 3
富饶 ph 7
紧巴巴 ne 1
战火 nb 3
呜咽 nb 5
腐朽 nn 7
丰满 ph 5
束缚 ne 5
直言不讳 ph 3
扬眉吐气 pa 5
主心骨 ph 5
透彻 ph 5
铭心刻骨 pf 9
名满天下 ph 7
一往无前 ph 5
低三下四 nn 7
遵照 pd 1
柔弱 nn 1
低微 nn 3
难听 nd 1
广阔 ph 5
整饬 ph 3
繁芜 nn 5
急如星火 ni 3
破烂 nn 7
拜谒 pd 5
激励 ph 1
甜滋滋 pa 7
灵巧 ph 5
生搬硬套 nn 5
嗲声嗲气 nn 3
丰厚 ph 3
横暴 nn 5
深恶痛绝 nd 9
划一 ph 1
天经地义 pg 5
昏头昏脑 nn 7
翻天 nn 3
渺茫 nb 3
含含糊糊 nn 5
弄虚作假 nn 7
糊里糊涂 nn 3
通畅 ph 5
贯通 ph 5
冒牌 nn 5
高昂 pa 3
贪赃枉法 nn 9
糟瘟 ne 5
噪音 nn 3
扎眼 ne 5
桎梏 ne 7
天仙 pb 7
详备 ph 3
欣羡 ph 5
艳羡 ph 5
宜人 pb 5
见好 pa 5
建设性 ph 5
绷脸 ne 3
懊恨 ne 7
心地狭窄 nn 7
保准 pg 5
不无裨益 ph 1
不知疲倦 ph 3
顶级 ph 5
设备齐全 ph 3
热乎 ph 3
操心 ne 3
超然 pe 5
井底下的邮包－深信 pg 9
聪敏 ph 5
不好惹 nc 1
丑恶 nd 5
勾搭 nd 3
惯技 nd 5
蠢蠢欲动 nd 5
颠覆 nd 3
燕雀安知鸿鹄之志 nn 3
复蹈前辄 nn 3
老调重弹 nn 3
容恕 pg 3
盛典 ph 5
盛事 ph 5
圣地 pd 3
宗派 nn 5
阻遏 nn 5
钻牛角尖儿 ne 7
嘴皮子 nn 5
熙攘 pb 5
幸事 pa 5
赢利 pa 3
有味 ph 5
余热 ph 5
肩负 pg 1
鉴别 pd 1
较劲 ph 3
解围 pa 5
占理 ph 3
重担 nb 5
自尊 pd 5
警悟 ph 3
寡言 nn 1
灰朦朦 nb 3
最高 ph 3
剽悍 nd 3
板着面孔 ne 5
绷着脸 ne 3
宽赦 pg 3
紧巴 ne 5
胆大 ph 1
神神秘秘 pc 1
无奢望 pe 9
排列有序 ph 3
日升月恒 ph 5
窍门 pb 3
宝重 pb 1
礼轻情意重 pb 3
众望所归 pd 3
不看僧面看佛面 pk 1
闲心 pe 3
一诺千金 ph 7
激烈 pa 7
不服气 na 1
恶作剧 nn 3
忽略 nb 3
愁云 nb 5
迷失 ne 7
疲倦 ne 3
不知所从 ne 5
降贵纡尊 pd 1
自寻烦恼 ne 1
不好意思 ng 3
心寒 nb 5
黯淡 nn 1
爆发 na 7
暗藏 nn 1
沉沦 nb 5
道路相望 ph 5
歌舞升平 pa 3
绳锯木断 pg 1
较紧牙关 ph 5
罪加一等 nd 5
终身大事 pf 3
蓬户柴门 nb 3
十世同堂 pa 7
伤筋动骨 nb 3
霜露之病 nb 1
客死他乡 nb 9
钉是钉，铆是铆 pg 3
天长地久 pb 5
鹰视狼步 nd 7
耳软心活 nn 5
跃跃欲试 ph 3
gx ph 7
顶一个 pb 7
顶下 ph 7
感动中 pb 3
顶啊 ph 7
手段 nn 1
要面子 nn 3
昏暗 nn 1
黏糊 nn 3
黑乎乎 nn 1
叫嚣 na 1
再衰三竭 nb 3
姨太太 nn 1
不胜 pa 3
葬身 nb 5
噪叫 ne 5
责骂 nn 5
张扬 nn 3
爪牙 nn 5
执傲 nn 5
清和 pe 1
风恬月朗 ph 7
甑尘釜鱼 ph 7
全盛 ph 5
韧性 ph 3
柔婉 ph 5
润泽 ph 5
蒲柳之姿 nn 3
省事 ph 5
盛情 ph 5
时贤 ph 5
爽捷 ph 5
硕壮 ph 1
蛀蚀 nn 5
装门面 nn 5
拙涩 nn 3
滋长 nn 5
自炫 nn 5
嘴敞 nn 5
作弊 nn 7
体察 ph 5
贴体 ph 5
沃土 ph 5
无垠 ph 5
细润 ph 5
纤秀 ph 5
相宜 ph 5
笑貌 pa 3
新禧 ph 5
欣快 pa 5
兴盛 ph 5
纪念章 pd 3
雅洁 ph 5
烟景 ph 5
艳称 ph 5
天矫 ph 5
意蕴 ph 5
熠熠 ph 5
盈溢 ph 3
勇力 ph 3
善战 ph 1
圆熟 ph 5
兼人 ph 9
坚致 ph 3
见访 pd 3
哭笑不得 ne 3
皎皎 ph 5
捷径 ph 3
发烧友 pb 7
匀调 ph 3
赞幕 ph 5
展眉 pa 3
直诚 ph 5
志气 ph 7
中兴 pa 5
中选 pa 5
进化 ph 1
著称 ph 3
壮举 ph 5
卓拔 ph 7
卓著 ph 7
孜孜 ph 5
精兵 ph 7
精警 ph 7
精微 ph 3
精义 ph 5
救治 ph 3
啰啰唆唆 nn 5
爱理不理 nn 1
半路出家 nn 3
本本主义 nn 5
病病歪歪 nn 1
疑心生暗鬼 nl 5
不成体统 nn 7
志在千里 ph 7
无教养 nn 9
不稂不莠 nn 7
颤巍巍 nb 1
罪恶昭彰 nd 9
阴森森 nc 9
臭气熏天 nn 9
粗蛮 nn 7
呆气 nn 5
德性 nn 5
多变 nn 3
繁冗 ne 3
沸沸扬扬 nn 3
风雨飘摇 nb 7
隔靴搔痒 nn 5
孤寡 nb 7
寡情 nn 7
官僚主义 nn 7
毫无意义 nn 9
狠劲 na 5
虎踞龙蟠 ph 9
中正 ph 5
准时 ph 3
嘴紧 ph 3
哀哀切切 nb 9
浑浑噩噩 nn 9
耻骂 nn 5
发指 na 7
狐疑不决 nl 7
悔之不及 nh 5
惊呆 pc 7
看不开 ne 3
脸皮薄 ng 3
气狠狠 na 5
说怪话 nn 3
心里堵得慌 ne 5
悬念 pc 3
厌气 nd 5
自责 nh 5
怅然若失 ne 5
妒羡 nk 5
给面子 pd 3
欢闹 pa 7
乐颠颠 pa 7
百读不厌 pb 7
叩头 pd 5
空洞洞 nn 3
空中楼阁 nn 7
持之有故 ph 1
炽盛 ph 3
绰约多姿 ph 5
良莠不齐 nn 7
溜号 nn 1
端整 ph 1
毛毛躁躁 nn 5
没什么了不得 nn 3
没有教养 nn 9
魔怔 nn 5
一掷千金 nn 9
邋里邋遢 nn 9
一表非凡 ph 9
言之成理 ph 9
平淡无味 nn 5
凄楚 nb 9
曲曲折折 ne 5
缺心眼儿 nn 7
无道德观念 nn 9
无节制 nn 9
无依无靠 nb 9
直勾勾 nn 9
高效能 ph 3
合情理 ph 1
识趣 ph 5
实诚 ph 7
生花妙笔 ph 9
深入浅出 ph 7
简单明了 ph 1
上照 ph 3
紧凑 ph 1
久经考验 ph 3
具有压倒性优势 ph 7
热热闹闹 pa 5
可圈可点 ph 5
曲线美 ph 5
求真务实 ph 5
清纯 ph 5
俏美 ph 5
器宇轩昂 ph 9
料事如神 ph 5
完美无瑕 ph 9
有贡献 ph 9
仪态万方 ph 9
心慈手软 ph 9
铁杵磨成针 ph 9
没的说 ph 1
耐久 ph 3
蓬蓬勃勃 ph 5
爱国如家 ph 5
误国殃民 nn 9
儿皇帝 nn 9
存亡继绝 ph 7
生聚教训 ph 9
兴奋不已 pa 5
使人愉快 pa 5
喜庆 pa 5
大快人心 pa 7
甜津津 pa 5
鼓乐喧天 pa 7
乐乐陶陶 pa 5
天伦之乐 pa 5
微笑 pa 5
笑咪咪 pa 5
奔放 pa 5
叫化子拾黄金－乐不可支 pa 7
报喜 pa 5
恋恋不舍 pb 5
爱不释手 pb 9
一往情深 pb 7
称羡 pb 3
中听 pb 3
不解之缘 pb 1
亲如手足 pb 7
问长问短 nn 3
声气相通 nn 5
命根子 pb 7
拍手叫好 ph 3
矮墩墩 nn 1
爱戴 pd 9
敬佩 pd 5
崇奉 pd 7
恭候 pd 5
拥戴 pd 9
信赖 pg 5
百炼成钢 ph 7
表扬 ph 5
才干 ph 5
驰名 ph 9
豁达 ph 5
壮志 ph 5
恒心 ph 5
始终如一 ph 5
好汉 ph 5
坚强 ph 5
佼佼者 ph 7
聪明 ph 5
胆大心细 ph 5
发愤图强 ph 7
丰功伟绩 ph 9
高见 ph 5
良好 ph 5
隆重 ph 5
美丽 ph 5
名贵 ph 5
宁死不屈 ph 7
绮丽 ph 5
平易近人 ph 7
俏丽 ph 5
融会贯通 ph 7
爱心 ph 5
顾全大局 ph 7
专心致志 ph 7
孝道 ph 5
文静 ph 5
暖流 ph 5
夜以继日 ph 7
温良 ph 5
仁厚 ph 5
严正 ph 5
胸无城府 ph 5
忠直 ph 5
赤心 ph 5
憨直 ph 5
夺锦才 ph 9
刚劲 ph 5
勇悍 ph 5
开通 ph 3
良善 ph 5
明镜高悬 ph 7
合群 ph 5
雍容 ph 5
宛转 ph 3
果决 ph 3
救困扶危 ph 7
心慈好善 ph 7
才智 ph 5
情投意合 pb 7
笔直 ph 1
肥沃 ph 5
精明 ph 5
茂密 ph 3
齐全 ph 5
详细 ph 5
卓越 ph 7
接济 ph 5
高速 ph 5
高效 ph 5
英雄豪杰 ph 7
救援 ph 5
赞誉 ph 5
称许 ph 5
新星 ph 5
奇秀 ph 5
美艳 ph 5
天下为公 ph 7
两袖清风 ph 7
清正廉洁 ph 5
善人 ph 5
完人 ph 9
言必有中 ph 5
意味深长 ph 3
名垂青史 ph 9
重于泰山 ph 7
俊雅 ph 5
出神入化 ph 9
名列榜首 ph 7
非同一般 ph 7
尖端 ph 5
蔼然 ph 3
